順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
78,35,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　５月,300004_020400_kenmin_tomo_r4_event,da72c0ec-49b1-4816-aa05-b140fa2d61ed
79,35,和歌山県,【和歌山県】電子申請利用状況,平成30年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,436ead86-f0b4-4d1a-b0fa-1d8d4c2811e2
80,35,和歌山県,【和歌山県】電子申請利用状況,令和3年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,349e238d-12bd-4364-a9fc-78c4b9f8d115
81,35,和歌山県,【和歌山県】令和３年度版 市町村税政の概況,第１ 令和３年度市町村税課税状況等の調（令和３年７月１日現在）.xls,300004_010600_zeiseinogaikyou_r3,a51b0362-35da-41ee-970a-c30aa0e3711c
82,35,和歌山県,【和歌山県】和歌山県内観光地の主な公共トイレ,和歌山県観光地トイレ,300004_062500_kankoutitoire,a398cb7b-1a56-4ae9-9223-e55e33580eb0
83,35,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２６年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,513eee9d-03b7-4143-bea5-50ceb04e9318
84,35,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１７年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,93cfdcf5-7aaa-4749-8e40-a4d4b0de9c12
85,35,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１８年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,05140277-c3ca-485b-b482-82aa330cb22a
86,35,和歌山県,【和歌山県】平成30年度県民経済計算,2-4　家計（個人企業含む）,300004_020300_kenminkeizai,fa88d326-09b8-4fa1-9ca1-245b1ff04aef
87,35,和歌山県,【和歌山県】平成30年度県民経済計算,主-2　県民所得（分配）（実数）,300004_020300_kenminkeizai,3ecd546e-cdf2-4ebb-a871-51b88f62dd5b
88,35,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、名目）（実数）,300004_020300_kenminkeizai,e8701e2c-9e91-4ea6-882b-4cf14ebd1c0f
89,35,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、実質：連鎖方式）（対前年度増加率）,300004_020300_kenminkeizai,0cbc8722-6179-4ae6-b3b8-86760d192dd6
90,35,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成22年度）,300004_020300_kenminkeizai,5579f538-4cdf-4b05-998a-6abfb8098c3a
91,35,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成24年度）,300004_020300_kenminkeizai,291516af-4a30-47fb-a468-e9694d4757f9
92,35,和歌山県,【和歌山県】市町村民経済計算,市町村民所得_推移（実数）,300004_020300_shichosonminkeizai,a8d422dc-7471-4b9d-8f85-6939e45fa493
93,35,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和3年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_r3_event,e9717b61-fc55-46a2-951f-e293e57c0752
94,35,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_r3_event,05f566da-7168-4a4d-b7c1-97f319f3521e
95,35,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　7月,300004_020400_kenmin_tomo_r3_event,f3eb0b17-d8de-4cc1-8309-dcf8e22af091
96,35,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　１月,300004_020400_kenmin_tomo_r3_event,f5f25e27-0111-4d86-aec9-a3b26cfe129d
97,35,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_r2_event,ed7248bf-0723-4079-a2d1-9336affc3de0
98,35,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　9月,300004_020400_kenmin_tomo_r2_event,1686d7ec-e9e9-491e-b93a-fff89c0ee950
99,35,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_r2_event,42ede844-310e-447b-a139-15203af82339
100,35,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　11月,300004_020400_kenmin_tomo_r2_event,020b3e3c-45ac-4706-84d1-1e0f3e9a2761
101,35,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　３月,300004_020400_kenmin_tomo_r2_event,06be5ab3-ee49-4d86-abb6-ac80fc963dd4
102,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_h31_news,463c9d42-4403-41cf-b358-487d4acf7923
103,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_h31_news,a3345a5b-fd45-4f17-a40f-a351c1985fa2
104,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_h31_news,c4166f7b-4c34-4279-a52f-bec54ab4e769
105,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h31_news,3b58c4a1-b4fa-46a5-b2a6-95ace38add6e
106,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h31_news,d88ff586-73cf-43eb-b44a-da5da10112b6
107,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h31_news,25e45a82-5ae1-4abc-8fc5-1622455f9aa8
108,35,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h31_news,3340739c-b73f-4b13-be84-90b681a9ebde
109,34,和歌山県,【和歌山県】データセットリスト,2023年05月のデータセット一覧,300004_dataset_list,07ffa45f-7be4-491a-af9e-97668a0a7e17
110,34,和歌山県,【和歌山県】データセットリスト,2022年12月のデータセット一覧,300004_dataset_list,3d12cd35-c427-4eb9-ba9a-5e9a70277d94
111,34,和歌山県,【和歌山県】データセットリスト,2022年03月のデータセット一覧,300004_dataset_list,437fcca6-907d-49b6-a1e6-9698bb76b48b
112,34,和歌山県,【和歌山県】データセットリスト,2021年12月のデータセット一覧,300004_dataset_list,c57dac42-8eee-417b-b3fe-086a01ceb4fa
113,34,和歌山県,【和歌山県】データセットリスト,2021年11月のデータセット一覧,300004_dataset_list,0602bc04-0aac-4aa6-b21d-a6be4563bd44
