順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
702,31,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２５年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,c4bf0590-6143-412b-adfc-c6faa9c93db2
703,31,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２８年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,c08ac508-9c20-4f76-a550-23b6669b3d7b
704,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２５年度　（県土整備部）,300004_081100_koji_zuikei,11b3aa12-281d-454b-8238-003f579b1b42
705,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２６年度　（県土整備部）,300004_081100_koji_zuikei,360cac3d-cf68-4355-8d89-eae3460a55ba
706,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２７年度　（県土整備部）,300004_081100_koji_zuikei,945ad349-5bdf-456c-b4ce-8fcd839ad3e6
707,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２９年度　（県土整備部）,300004_081100_koji_zuikei,8fb0e7a4-6362-4b99-99f6-b2ea320bd848
708,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　令和元年度　（県土整備部）,300004_081100_koji_zuikei,e92b5871-e9d8-42b6-ad3f-62d694e58138
709,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２６年度　（農林水産部）,300004_081100_koji_zuikei,13b9b7a7-755d-416b-8ccc-c3992baa702f
710,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２７年度　（農林水産部）,300004_081100_koji_zuikei,465d568f-2ff5-4895-a257-24b86d9a42e3
711,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２８年度　（農林水産部）,300004_081100_koji_zuikei,4ddf75a9-8492-421e-8e2b-95713ebc4b89
712,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　平成２９年度　（農林水産部）,300004_081100_koji_zuikei,9e211993-a128-4002-9c65-4c9a9f42138e
713,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　令和元年度　（農林水産部）,300004_081100_koji_zuikei,54f8ba57-5087-4d52-b4c1-941d9348c593
714,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　工事及び工事に係る業務 　令和２年度　（農林水産部）,300004_081100_koji_zuikei,a42aa71d-ca8d-4bb8-b6a1-4502cefab365
715,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成２５年度　（県土整備部）,300004_081100_koji_zuikei,84f4854d-56d6-4304-8a58-7185f4f7cdee
716,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成３０年度　（県土整備部）,300004_081100_koji_zuikei,48550517-0f3a-48ce-ae44-7081498be16f
717,31,和歌山県,【和歌山県】公共工事等に関する随意契約,和歌山県公共工事等に関する随意契約　用地取得に係る業務委託 　平成２９年度　（県土整備部）,300004_081100_koji_zuikei,443a8618-6847-41d2-bd11-fa35b4a25b15
718,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（昭和60年）,300004_020300_kokuseichosa,27bbe489-9a06-47af-81f1-8a3cdcdb34bf
719,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成2年）,300004_020300_kokuseichosa,fb1647ee-612d-4fb2-9d85-c462c4975716
720,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成12年）,300004_020300_kokuseichosa,17a97205-958c-4db2-862d-5b4c4711b7c3
721,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その1（平成17年）,300004_020300_kokuseichosa,cc7f5eb3-d77c-48dc-b51d-e5b56494d4be
722,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成2年）,300004_020300_kokuseichosa,5b9dbc37-52ef-4666-9bf6-66e85c50ebae
723,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成12年）,300004_020300_kokuseichosa,9920030d-d401-4608-b842-0a35b7cdf9bb
724,31,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（平成17年）,300004_020300_kokuseichosa,99395651-426f-45f8-a455-d016a99a1674
725,31,和歌山県,【和歌山県】国勢調査　時系列データ,３表　年齢（5歳階級）、男女別人口（昭和55年~平成27年）,300004_020300_kokuseichosa,3f337384-4d98-4e19-a634-53aa3b88ed7b
726,31,和歌山県,【和歌山県】国勢調査　時系列データ,５表　労働力状態別15歳以上人口 総数、男女（昭和25年~平成27年）,300004_020300_kokuseichosa,3a4b93ab-00ba-4793-be72-377a24f16df4
727,31,和歌山県,【和歌山県】国勢調査　時系列データ,６表　年齢（5歳階級）、男女別、労働力率の推移（昭和45年~平成27年）,300004_020300_kokuseichosa,cb3a8b74-1a77-4224-8f3c-3db9ff892cc4
728,31,和歌山県,【和歌山県】国勢調査　時系列データ,７表　年齢（5歳階級）、男女別、労働力状態別15歳以上人口（昭和45年~平成27年）,300004_020300_kokuseichosa,0586fd0b-057d-40ca-a597-e9a4e8f16546
729,31,和歌山県,【和歌山県】国勢調査　時系列データ,８表　従業上の地位、15歳以上就業者数の推移（昭和45年~平成27年）,300004_020300_kokuseichosa,96e111ac-af4a-4803-9c37-b6bc6ab514a7
730,31,和歌山県,【和歌山県】平成30年度県民経済計算,統計表 利用上の注意,300004_020300_kenminkeizai,9f660e7e-6c6e-4246-8551-e5905b1c699f
731,31,和歌山県,【和歌山県】平成30年度県民経済計算,1-1　県内総生産と総支出勘定（対前年度増加率）,300004_020300_kenminkeizai,e9167ee0-32c5-4d3b-b18f-846bcd079fe5
732,31,和歌山県,【和歌山県】平成30年度県民経済計算,1-1　県内総生産と総支出勘定（構成比）,300004_020300_kenminkeizai,7e444ae2-1a4d-460a-8cce-4efd02539ba8
733,31,和歌山県,【和歌山県】平成30年度県民経済計算,2-2　金融機関,300004_020300_kenminkeizai,fe4fd1fe-8fe3-4f33-b25c-200a2bb9432b
734,31,和歌山県,【和歌山県】平成30年度県民経済計算,2-3　一般政府,300004_020300_kenminkeizai,77fb9199-d7ea-410e-85b3-08b72d738ebd
735,31,和歌山県,【和歌山県】平成30年度県民経済計算,2-5　対家計民間非営利団体,300004_020300_kenminkeizai,fc01575c-63b5-42a7-a0d5-8558f58991e7
736,31,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（名目）（対前年度増加率）,300004_020300_kenminkeizai,f92d1af6-87da-4791-bd6e-d70a7868dd85
737,31,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（実質：連鎖方式）（実数）,300004_020300_kenminkeizai,aa2c54eb-59d1-4e88-bf03-23e996c65caf
738,31,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（実質：連鎖方式）（対前年度増加率）,300004_020300_kenminkeizai,5f1c6f9a-4117-4dda-9de7-4fa559b0c215
739,31,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（デフレーター：連鎖方式）（対前年度増加率）,300004_020300_kenminkeizai,94aa2498-1648-40ce-b4bc-b80f2652f9b1
740,31,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、名目）（対前年度増加率）,300004_020300_kenminkeizai,6c9db8da-c3e4-4482-a718-16bd2e073d31
741,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成19年度）,300004_020300_kenminkeizai,565bfcdf-1ffb-4f70-b55a-100dc2c16959
742,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成23年度）,300004_020300_kenminkeizai,0f8524f8-7f46-4375-9c3a-2c05493ec821
743,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成26年度）,300004_020300_kenminkeizai,26d97448-632c-4925-b2ee-99cb1fd998d6
744,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成27年度）,300004_020300_kenminkeizai,9a5db8c0-d5da-4db8-95c2-0ffa61dd62c4
745,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成28年度）,300004_020300_kenminkeizai,36aa13d9-538c-4a73-bc92-7bd4cfcc20c5
746,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成30年度）,300004_020300_kenminkeizai,2b539b02-aba8-4a78-a080-c06d6db2c274
747,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-2　社会保障負担の明細表（一般政府の受取）,300004_020300_kenminkeizai,f3ad452a-a317-40c7-bef1-67c96f2b4a55
748,31,和歌山県,【和歌山県】平成30年度県民経済計算,付-5　経済活動別雇用者数（県内ベース・県民ベース）,300004_020300_kenminkeizai,5f9a68bd-c282-4524-8f47-27545f31cf24
749,31,和歌山県,【和歌山県】市町村民経済計算,市町村内総生産_推移（実数）,300004_020300_shichosonminkeizai,012cca30-dabf-4ba9-8263-d2ca05ba27f6
750,31,和歌山県,【和歌山県】市町村民経済計算,市町村民所得_推移（対前年度増加率）,300004_020300_shichosonminkeizai,63882228-575e-4e85-980f-9b5dc432f63d
751,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）投入係数表,300004_020300_sangyorenkanhyo,d3b992be-fa30-4626-99ab-4a88970019b2
752,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）投入係数表_粗付加価値係数（参考）,300004_020300_sangyorenkanhyo,48821972-05bd-43ba-93bc-49f11c4b38d4
753,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）投入係数表_移輸入係数及び県内自給率（参考）,300004_020300_sangyorenkanhyo,5dccbb47-2dc2-4f81-a420-f38b960259f1
754,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別生産誘発係依存度,300004_020300_sangyorenkanhyo,8fa9b3e1-85cf-4abb-bbb3-bd2c882624cc
755,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別粗付加価値誘発額,300004_020300_sangyorenkanhyo,2aaa3f96-9ced-4929-a0ed-da1cabfcbc4a
756,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別粗付加価値誘発依存度,300004_020300_sangyorenkanhyo,e688664a-7988-4992-b963-d0652bc7dee8
757,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別移輸入誘発額,300004_020300_sangyorenkanhyo,6f613f70-81ce-4a5d-9bbe-d93cfd13e579
758,31,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別移輸入誘発依存度,300004_020300_sangyorenkanhyo,d734881f-9f94-44fb-ad53-ad78af5a1544
759,31,和歌山県,【和歌山県】鉱工業生産指数,業種分類別 鉱工業生産指数 時系列データ（平成25年～令和2年） 季節調整済指数,300004_020300_kokogyo,232ce3ab-0c85-48a9-952c-2e54b78e22aa
760,31,和歌山県,【和歌山県】鉱工業生産指数,平成27年基準の概要,300004_020300_kokogyo,93f171f3-9530-4971-882a-44f797235eb6
761,31,和歌山県,【和歌山県】わかやまの美しい棚田・段々畑認定地域,わかやまの美しい棚田・段々畑認定地域,300004_070100_tanada,4f379e45-ae33-4720-95dd-3b35f7e72083
762,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,表紙・目次,300004_010600_zeiseinogaikyou,b726566e-42ae-4d14-ad81-408810a18d88
763,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,令和元年度市町村税の決算状況,300004_010600_zeiseinogaikyou,e6dd77bd-b5de-431b-b82e-52e13d0229d8
764,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,市町村民税の状況,300004_010600_zeiseinogaikyou,f2fd0330-07dd-4a5c-a34e-57e076a20670
765,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,固定資産税の状況,300004_010600_zeiseinogaikyou,936597ce-8e98-47f4-bfb6-7b5108bd290e
766,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,諸税等の状況,300004_010600_zeiseinogaikyou,d49c848a-a88c-44a8-badb-d0b1903a5de7
767,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,地方特例交付金の概要,300004_010600_zeiseinogaikyou,2018e925-b013-405b-8c2d-b1bd09c1aa7c
768,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,表紙・目次（資料編）,300004_010600_zeiseinogaikyou,ffca9219-b7a8-4e5c-813c-aa9aedc5dd4f
769,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,第３ 令和２年度固定資産に関する概要調書等報告書（令和２年１月１日現在）,300004_010600_zeiseinogaikyou,dc02f878-f4c3-4470-9ac7-8636e33fd004
770,31,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,第４ 令和３年度総評価見込額等に関する調（令和３年1月1日現在）,300004_010600_zeiseinogaikyou,5b8ca14c-987c-44b5-850f-011b5e543483
771,31,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,02 海南市,300004_010600_kessansuii,532608d8-0674-4173-b34b-031e4b53eb13
772,31,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,05 御坊市,300004_010600_kessansuii,f050f394-6594-4015-a157-0e4741bbe8c0
773,31,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,09 岩出市,300004_010600_kessansuii,542f148d-603f-4933-8083-d8387e73cf15
774,31,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,12 九度山町,300004_010600_kessansuii,6ffc956d-c490-48d4-9fdf-80cef2f44d35
775,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_r3_news,eeae5913-7134-4a30-ada3-f540ef135bda
776,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_r3_news,0196b50c-7404-4c33-acc2-1ef703dddf4f
777,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_r3_news,cdf39360-2a00-4219-9522-127b71e9f6bf
778,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_r3_news,9400eb79-1a0d-43c3-9b9c-06716039dfe7
779,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）８月,300004_020400_kenmin_tomo_r3_news,44fe32fe-d02f-4fe6-8305-8f0aea485c41
780,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）９月,300004_020400_kenmin_tomo_r3_news,7f082159-f261-4dc5-8613-3930fb89dba7
781,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）１０月,300004_020400_kenmin_tomo_r3_news,6e8131d4-bb03-4b53-9999-eaa5b221ece5
782,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）１２月,300004_020400_kenmin_tomo_r3_news,73fe3b00-ac26-486e-a0a5-55e4649cc264
783,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）２月,300004_020400_kenmin_tomo_r3_news,cb0f9c0e-070a-45c7-af0f-881533083527
784,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）３月,300004_020400_kenmin_tomo_r3_news,498d1e68-9237-4cb0-8925-05d6dd84194c
785,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和3年度刊行県民の友（催し）　８月,300004_020400_kenmin_tomo_r3_event,5e2476ad-e5d8-4ad0-beb8-8da349437d6f
786,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和3年度刊行県民の友（催し）　１１月,300004_020400_kenmin_tomo_r3_event,63cb242c-2b69-4390-a8cb-1da04864c0d3
787,31,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　２月,300004_020400_kenmin_tomo_r3_event,43b5c0d8-e3c7-4c38-8d79-251693eaba2b
788,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_r2_news,fad7921f-4f6a-4ef7-906e-03726fb06843
789,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_r2_news,85c1c572-b06f-48c4-a720-1b115695835c
790,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_r2_news,00d71907-31f1-4fb5-a62d-4ec9687b3ffa
791,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_r2_news,e578cb1a-2d9d-452a-bce9-04c0466e5435
792,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_r2_news,53fe922c-a705-4959-a528-83358c5a23f1
793,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_r2_news,a6af663c-e902-4955-b172-99f4d4a7b430
794,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_r2_news,6e9b6144-f0f1-4c98-a632-fac2c88b2a39
795,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_r2_news,e8f9a45e-5012-45cf-94f2-89b62949e68f
796,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_r2_news,053c4022-51e3-426e-8f53-5e6084528229
797,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_r2_news,3e2cd1de-0d7c-47ae-80c1-02e0010e2a25
798,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_r2_news,22bee337-a8c6-4d3c-8c33-cfc64352106b
799,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_r2_news,ef18f19b-53ed-4643-96be-3d440dab081a
800,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　7月,300004_020400_kenmin_tomo_r2_event,acf8b5a5-91b4-4744-8c8c-a42a82a13e2d
801,31,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　１月,300004_020400_kenmin_tomo_r2_event,7d0ae896-92ca-4220-9cce-59c68aa8db3e
802,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h31_news,268b2ef2-7283-456b-b112-7cc67e68ba8d
803,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h31_news,443de03d-80d5-42e7-bf8c-4af9f57fe0bc
804,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）5月,300004_020400_kenmin_tomo_h31_event,8cb67904-4e4f-49d1-b793-dc32814bae59
805,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）6月,300004_020400_kenmin_tomo_h31_event,f8509216-0a1a-4996-9ab0-010decc4b2b8
806,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）6月,300004_020400_kenmin_tomo_h31_event,3965d12b-c66c-4bd4-b3d1-ad7c14e72997
807,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）7月,300004_020400_kenmin_tomo_h31_event,50ae6e17-da31-4532-a28d-6f04a8ed5dd8
808,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）9月,300004_020400_kenmin_tomo_h31_event,1eda0d1d-fd9f-42ce-92cb-bfcc1796a9a4
809,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）12月,300004_020400_kenmin_tomo_h31_event,3885182d-fc9d-46f7-b46c-2fb2aefb66d1
810,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）1月,300004_020400_kenmin_tomo_h31_event,71e0a6c2-dc61-4a63-9463-03a04d92766e
811,31,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）2月,300004_020400_kenmin_tomo_h31_event,4019753d-9235-429b-8cca-d8c6762ca901
812,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h30_news,dc4b2223-775e-4f3b-96aa-12bbf20d679a
813,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h30_news,269df4db-c8e4-4f31-8e8a-e15b45a324f6
814,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_h30_news,842aeeac-4228-48af-b240-ed9a7b1e7842
815,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h30_news,07e855c5-c58e-416a-b706-215ebd8cccfe
816,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h30_news,f08165f4-06d0-4f9c-b4d0-ab6120828be1
817,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h30_news,1db1694c-28eb-4332-bda3-0da707a17ab5
818,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h30_news,ffa02bd0-28fe-4c52-bb94-8292f723317b
819,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h30_news,4b7c2d68-a62a-49d6-bbf8-bab0d3039623
820,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h30_news,2ce8c5b7-64f3-4a0d-8eb0-2a9ad1a35fea
821,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h30_news,a87ab924-cc64-479a-9add-363e7645f0bc
822,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h30_news,cf78f4da-1940-4548-8350-364b47d6390a
823,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h30_news,11f30334-9dfd-4bf6-ad4d-4f44962598a4
824,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h30_news,401843b1-5aea-41a6-b7e9-23329b60959e
825,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　4月　,300004_020400_kenmin_tomo_h30_event,fcad24a7-370a-44e1-92a3-839a8c08d77d
826,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　4月　,300004_020400_kenmin_tomo_h30_event,1632c3ff-2114-4818-90b7-ceca6d027f11
827,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　5月　,300004_020400_kenmin_tomo_h30_event,5921b0e7-bead-4f19-b204-7107b8d313f3
828,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　6月　,300004_020400_kenmin_tomo_h30_event,f9745e6c-f139-453c-ab42-308d4e1ac207
829,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　6月　,300004_020400_kenmin_tomo_h30_event,fb3d004c-baa4-4c3d-8841-5509732a3ccd
830,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　7月　,300004_020400_kenmin_tomo_h30_event,f8a1e150-a402-4cc9-8af2-594ca9584dab
831,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　7月　,300004_020400_kenmin_tomo_h30_event,da1294f7-d592-4cc6-93f3-c1dd5661852d
832,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　8月　,300004_020400_kenmin_tomo_h30_event,b26e0666-7137-4961-abb2-2f71087a9dce
833,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　9月　,300004_020400_kenmin_tomo_h30_event,3e4e9bbc-86be-4ca2-9bdd-0edff0f7dc77
834,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　11月　,300004_020400_kenmin_tomo_h30_event,0514da9c-b299-456d-9256-f0195fc74538
835,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　11月　,300004_020400_kenmin_tomo_h30_event,e1644b07-e7e1-4353-ab2c-0de658951669
